Username,Handle,Timestamp,Comments,Responding,Text,Reply,Retweet,Likes
Sue Spurgin,@SueSpurgin,2020-08-19T19:59:33.000Z,"#Botswana Moves to Rearm Rangers as #Rhino #Poaching Intensifies
https://voanews.com/africa/botswana-moves-rearm-rangers-rhino-poaching-intensifies…","2
1
4","#Botswana Moves to Rearm Rangers as #Rhino #Poaching Intensifies
https://voanews.com/africa/botswana-moves-rearm-rangers-rhino-poaching-intensifies…2
1
4",2.0,1.0,4
Susan Scott,@susan_scott,2020-08-19T17:53:29.000Z,"Everyone seems to have seen 
@STROOP_film
 but if  you’ve been holding out, there’s a chance tonight at 20:45 on M-Net Movies channel 139. 
#rhino #poaching #rhinopoaching #STROOPfilm #STROOP #film",STROOP - journey into the rhino horn war and 3 others,"Everyone seems to have seen 
@STROOP_film
 but if  you’ve been holding out, there’s a chance tonight at 20:45 on M-Net Movies channel 139. 
#rhino #poaching #rhinopoaching #STROOPfilm #STROOP #filmSTROOP - journey into the rhino horn war and 3 others",1.0,4.0,9
Sue Spurgin,@SueSpurgin,2020-08-17T05:47:23.000Z,"#SouthAfrica #SeeRedForRhino
#55RhinosLives #NdlovuGang the court laid down 25 year jail sentences for #rhino #poaching crimes #NoAppeal for lighter sentences! #LetThePunishmentFitTheCrime #NoMercy #NotInOurProvince #JusticeForRhinos #RedForRhino",,"#SouthAfrica #SeeRedForRhino
#55RhinosLives #NdlovuGang the court laid down 25 year jail sentences for #rhino #poaching crimes #NoAppeal for lighter sentences! #LetThePunishmentFitTheCrime #NoMercy #NotInOurProvince #JusticeForRhinos #RedForRhino",1.0,3.0,3
Sue Spurgin,@SueSpurgin,2020-08-17T05:05:26.000Z,"#SouthAfrica #RedForRhino No reduction in the #rhino #poaching #NdlovuGang trio's 25 year prison sentences #NoAppeal #JusticeForRhinos #NoMercy #SeeRedForRhino #LetThePunishmentFitTheCrime #55RhinoLives #NotInOurProvince
@OscarMabuyane",,"#SouthAfrica #RedForRhino No reduction in the #rhino #poaching #NdlovuGang trio's 25 year prison sentences #NoAppeal #JusticeForRhinos #NoMercy #SeeRedForRhino #LetThePunishmentFitTheCrime #55RhinoLives #NotInOurProvince
@OscarMabuyane",,4.0,9
Roar Wildlife News,@RoarWN,2020-08-16T08:42:04.000Z,"ILLEGAL #poaching of #Africa’s #wildlife has skyrocketed during the coronavirus, but one radical, all-female team in #Zimbabwe is fighting back protecting #elephants #lions & #rhino from #hunters, snares & cyanide traps on former #TrophyHunting reserves","newzimbabwe.com
An Inside Look At Zimbabwe’s All-Female, Anti-Poaching Army - NewZimbabwe.com
Spread This NewsNew York Post ILLEGAL poaching of Africa’s wildlife has skyrocketed during the coronavirus, but one radical, all-female team in Zimbabwe is fighting back. The Akashinga unit is the...","ILLEGAL #poaching of #Africa’s #wildlife has skyrocketed during the coronavirus, but one radical, all-female team in #Zimbabwe is fighting back protecting #elephants #lions & #rhino from #hunters, snares & cyanide traps on former #TrophyHunting reservesnewzimbabwe.com
An Inside Look At Zimbabwe’s All-Female, Anti-Poaching Army - NewZimbabwe.com
Spread This NewsNew York Post ILLEGAL poaching of Africa’s wildlife has skyrocketed during the coronavirus, but one radical, all-female team in Zimbabwe is fighting back. The Akashinga unit is the...",1.0,5.0,5
Sue Spurgin,@SueSpurgin,2020-08-16T06:22:56.000Z,"#rhino #poaching – not just an #environmental crime - #WildlifeCrime is an economic, social as well as environmental crime & is a facet of the dark world of organised crime – with far-reaching impacts. #RhinoPoachingStealsFromUsAll!
https://namibian.com.na/93671/read/Rhino-poaching-%E2%80%93-not-just-an-environmental-crime…",,"#rhino #poaching – not just an #environmental crime - #WildlifeCrime is an economic, social as well as environmental crime & is a facet of the dark world of organised crime – with far-reaching impacts. #RhinoPoachingStealsFromUsAll!
https://namibian.com.na/93671/read/Rhino-poaching-%E2%80%93-not-just-an-environmental-crime…",,4.0,8
The Global Herald,@TheGlobalHerald,2020-08-16T03:26:32.000Z,South #Africa #Rhino #Poaching drops sharply amid COVID-19 #Pandemic - https://theglobalherald.com/news/south-africa-rhino-poaching-drops-sharply-amid-covid-19-pandemic/… - #CGTN #COVID19 #SouthAfrica #Travel,"theglobalherald.com
South Africa rhino poaching drops sharply amid COVID-19 pandemic - The Global Herald
The #COVID19 pandemic may have battered the global travel industry but it has helped save rhinos in #SouthAfrica. Authorities say there was a significant drop","South #Africa #Rhino #Poaching drops sharply amid COVID-19 #Pandemic - https://theglobalherald.com/news/south-africa-rhino-poaching-drops-sharply-amid-covid-19-pandemic/… - #CGTN #COVID19 #SouthAfrica #Traveltheglobalherald.com
South Africa rhino poaching drops sharply amid COVID-19 pandemic - The Global Herald
The #COVID19 pandemic may have battered the global travel industry but it has helped save rhinos in #SouthAfrica. Authorities say there was a significant drop",,,
Sue Spurgin,@SueSpurgin,2020-08-15T06:09:39.000Z,Please RT #SouthAfrica #55RhinosLives  Ndlovu Gang's appeal against their 25 year prison sentences for #rhino #poaching is set down to be heard in the Grahamstown High Court on Monday. Help to turn social media #RedForRhino with a virtual protest on Mon 17 August using the #'s ,,Please RT #SouthAfrica #55RhinosLives  Ndlovu Gang's appeal against their 25 year prison sentences for #rhino #poaching is set down to be heard in the Grahamstown High Court on Monday. Help to turn social media #RedForRhino with a virtual protest on Mon 17 August using the #'s ,1.0,28.0,22
viaGood,@viaGoodApp,2020-08-13T18:53:46.000Z,"#SharePositiveNews  The dedication of rangers who have remained at the forefront of the battle against poaching  despite the National Lockdown, contributed to the decrease in poaching in South Africa. 
#poaching #saverhinos #rhino #southafrica #rangers","cbn.co.za
Rhino poaching declines significantly
The Department of Environment, Forestry and Fisheries says rhino poaching decreased by almost 53% in the first six months of 2020, with 166 animals being killed for their horns across the country...","#SharePositiveNews  The dedication of rangers who have remained at the forefront of the battle against poaching  despite the National Lockdown, contributed to the decrease in poaching in South Africa. 
#poaching #saverhinos #rhino #southafrica #rangerscbn.co.za
Rhino poaching declines significantly
The Department of Environment, Forestry and Fisheries says rhino poaching decreased by almost 53% in the first six months of 2020, with 166 animals being killed for their horns across the country...",,,
Sue Spurgin,@SueSpurgin,2020-08-13T15:28:42.000Z,"@elisetempelhoff
 @Desiree_Laverne
  @Aay_deR
 #SouthAfrica alleged #rhino #poaching kingpin & former #corrupt cop #JosephNyalunga due back in court tomorrow on re-instated murder & kidnapping charges","Quote Tweet
Simon Bloch
@simonbloch1
·
Aug 13, 2020
RHINO POACHING KINGPIN DUE BACK IN COURT ON MURDER AND KIDNAPPING CHARGES - NPA INSTRUCTIONS WERE NEVER COMPLIED WITH.
https://facebook.com/276640799057143/photos/a.280276525360237/3221007924620401/?type=3&theater…","@elisetempelhoff
 @Desiree_Laverne
  @Aay_deR
 #SouthAfrica alleged #rhino #poaching kingpin & former #corrupt cop #JosephNyalunga due back in court tomorrow on re-instated murder & kidnapping chargesQuote Tweet
Simon Bloch
@simonbloch1
·
Aug 13, 2020
RHINO POACHING KINGPIN DUE BACK IN COURT ON MURDER AND KIDNAPPING CHARGES - NPA INSTRUCTIONS WERE NEVER COMPLIED WITH.
https://facebook.com/276640799057143/photos/a.280276525360237/3221007924620401/?type=3&theater…",2.0,5.0,9
World Youth Wildlife Summit,@WildlifeSummit,2020-08-11T16:21:32.000Z,"“Rhino poaching decreases by more than half in the first half of 2020” read the misleading headline on the government’s press release issued on Friday. "" Let's take a closer look. #rhino #poaching 

https://africageographic.com/stories/rhino-poaching-stats-2020-more-shades-of-grey/?fbclid=IwAR0nrWz9AZqT4DZd3rNMyUXknWpD7D3e6_CEMQlUgWN0Q_XFbD3w6yCLGqw…","1
2","“Rhino poaching decreases by more than half in the first half of 2020” read the misleading headline on the government’s press release issued on Friday. "" Let's take a closer look. #rhino #poaching 

https://africageographic.com/stories/rhino-poaching-stats-2020-more-shades-of-grey/?fbclid=IwAR0nrWz9AZqT4DZd3rNMyUXknWpD7D3e6_CEMQlUgWN0Q_XFbD3w6yCLGqw…1
2",,1.0,2
Olivia,@olivia_feliz,2020-08-10T13:21:46.000Z,"Replying to 
@HelpingRhinos","Horrible, just horrible. I wish #poaching would stop. There is NO SECRET INGREDIENT IN RHINO HORN!! #rhino #rhinohorn","Replying to 
@HelpingRhinosHorrible, just horrible. I wish #poaching would stop. There is NO SECRET INGREDIENT IN RHINO HORN!! #rhino #rhinohorn",,,1
Helping Rhinos,@HelpingRhinos,2020-08-10T11:58:45.000Z,"RHINO: A closer look at the rhino poaching statistics for 2020 from the team behind 
@STROOP_film
  Sadly the numbers released by the South African government can rarely be taken at face value. 
#Rhino #SouthAfrica #Poaching
https://africageographic.com/stories/rhino-poaching-stats-2020-more-shades-of-grey/?fbclid=IwAR2lRBwvg-TdyonITQsoYVvyGlirKt_m45dH7WXdReSqh_GH9w8rpfhgWEA…","1
8
27","RHINO: A closer look at the rhino poaching statistics for 2020 from the team behind 
@STROOP_film
  Sadly the numbers released by the South African government can rarely be taken at face value. 
#Rhino #SouthAfrica #Poaching
https://africageographic.com/stories/rhino-poaching-stats-2020-more-shades-of-grey/?fbclid=IwAR2lRBwvg-TdyonITQsoYVvyGlirKt_m45dH7WXdReSqh_GH9w8rpfhgWEA…1
8
27",1.0,8.0,27
ShowMe Helderberg,@ShowMeHBerg,2020-08-05T12:15:12.000Z,"SOME GOOD NEWS!!! 
Rhino poaching in South Africa declines significantly!
Read more: http://ow.ly/3z2750ARaz9
#news #goodnews #southafrica #rhino #poaching #declines",,"SOME GOOD NEWS!!! 
Rhino poaching in South Africa declines significantly!
Read more: http://ow.ly/3z2750ARaz9
#news #goodnews #southafrica #rhino #poaching #declines",,1.0,2
ShowMe Stellenbosch,@ShowMeStellies,2020-08-05T12:15:04.000Z,"SOME GOOD NEWS!!! 
Rhino poaching in South Africa declines significantly!
Read more: http://ow.ly/y4ev50ARaFL #goodnews #southafrica #rhino #poaching #declines",,"SOME GOOD NEWS!!! 
Rhino poaching in South Africa declines significantly!
Read more: http://ow.ly/y4ev50ARaFL #goodnews #southafrica #rhino #poaching #declines",,,
Planet Rhino,@Planet_Rhino,2020-08-05T12:11:45.000Z,"“Namibia has seen a tremendous drop in poaching cases over the years. This is proof that the different measures that the country has employed to curb poaching are working,” Muyunda said.' #Namibia #Poaching #Rhino #Elephant","africa.cgtn.com
Namibia loses 17 rhinos, 2 elephants to poaching since January
Namibia has lost 17 rhinos and two elephants to poaching since the beginning of the year, the Ministry of Environment, Forestry and Tourism said Tuesday. Ministry spokesperson Romeo Muyunda said the...","“Namibia has seen a tremendous drop in poaching cases over the years. This is proof that the different measures that the country has employed to curb poaching are working,” Muyunda said.' #Namibia #Poaching #Rhino #Elephantafrica.cgtn.com
Namibia loses 17 rhinos, 2 elephants to poaching since January
Namibia has lost 17 rhinos and two elephants to poaching since the beginning of the year, the Ministry of Environment, Forestry and Tourism said Tuesday. Ministry spokesperson Romeo Muyunda said the...",,1.0,1
World Youth Wildlife Summit,@WildlifeSummit,2020-08-05T11:31:57.000Z,"A wanted US fugitive, who is said to be involved in drug trafficking and the poaching of more than 35 rhino and 100 elephants was arrested at Mombasa airport last week #rhino #elephant #poaching #wildlifecrime

https://nation.co.ke/kenya/counties/mombasa/wanted-us-fugitive-arrested-at-mombasa-airport--1907790…",2,"A wanted US fugitive, who is said to be involved in drug trafficking and the poaching of more than 35 rhino and 100 elephants was arrested at Mombasa airport last week #rhino #elephant #poaching #wildlifecrime

https://nation.co.ke/kenya/counties/mombasa/wanted-us-fugitive-arrested-at-mombasa-airport--1907790…2",,,2
World Youth Wildlife Summit,@WildlifeSummit,2020-08-04T13:12:05.000Z,"Africa's rhinos my be facing a new threat, ""Despite having no proven medicinal value, rhino horn is used as an ingredient in the ‘ibuprofen of TCM’, peddled on social media as Covid-19 treatment."" #poaching #rhino #protect","scmp.com
New threat to African rhinos with horn touted as Covid-19 balm
Despite having no proven medicinal value, rhino horn is being used as ingredient in the ‘ibuprofen of traditional Chinese medicine’ – now being peddled to treat Covid-19.","Africa's rhinos my be facing a new threat, ""Despite having no proven medicinal value, rhino horn is used as an ingredient in the ‘ibuprofen of TCM’, peddled on social media as Covid-19 treatment."" #poaching #rhino #protectscmp.com
New threat to African rhinos with horn touted as Covid-19 balm
Despite having no proven medicinal value, rhino horn is being used as ingredient in the ‘ibuprofen of traditional Chinese medicine’ – now being peddled to treat Covid-19.",,1.0,2
Earth.Org,@EarthOrg,2020-08-03T13:01:01.000Z,"#Rhino #Poaching in South Africa fell by 53% in the half of 2020, owing partly to COVID-19 travel restrictions and lockdowns in the country that have hindered poachers and international smuggling rings.","earth.org
Rhino Poaching in South Africa Halves in First Half of 2020 | Earth.Org
Rhino poaching in South Africa fell by 53% in the half of 2020 due to COVID-19 travel restrictions and lockdowns that have hindered poachers. ","#Rhino #Poaching in South Africa fell by 53% in the half of 2020, owing partly to COVID-19 travel restrictions and lockdowns in the country that have hindered poachers and international smuggling rings.earth.org
Rhino Poaching in South Africa Halves in First Half of 2020 | Earth.Org
Rhino poaching in South Africa fell by 53% in the half of 2020 due to COVID-19 travel restrictions and lockdowns that have hindered poachers. ",,2.0,2
thelittlenewshound,@littlenewshound,2020-08-02T19:59:32.000Z,Thank goodness. Great news. Hope levels continue to fall. #goodnews #positivenews #covid19 #conservation #environment #poaching #rhino https://instagram.com/p/CDZkfODneEO/?igshid=rooq3mph7g2u…,,Thank goodness. Great news. Hope levels continue to fall. #goodnews #positivenews #covid19 #conservation #environment #poaching #rhino https://instagram.com/p/CDZkfODneEO/?igshid=rooq3mph7g2u…,,,
Misty Woo’s Legacy,@MistyWooEngle,2020-08-01T13:34:09.000Z,South African rhino poaching halves in six months thanks to Covid-19 lockdown https://theguardian.com/environment/2020/aug/01/south-african-rhino-poaching-halves-in-six-months-thanks-to-covid-19-lockdown… #wildlife #biodiversity #rhino #poaching,3,South African rhino poaching halves in six months thanks to Covid-19 lockdown https://theguardian.com/environment/2020/aug/01/south-african-rhino-poaching-halves-in-six-months-thanks-to-covid-19-lockdown… #wildlife #biodiversity #rhino #poaching3,,,3
Vicky Smith,@vickysmith,2020-08-01T13:20:25.000Z,"RT @ Earth_Changers_ What we've been reading #InTheNews for #sustainable #travel & #tourism

2/ #Conservation/#Covid #Lockdown: #SouthAfrica #rhino #poaching halves in six months 
https://theguardian.com/environment/2020/aug/01/south-african-rhino-poaching-halves-in-six-months-thanks-to-covid-19-lockdown… #sustainabletourism",,"RT @ Earth_Changers_ What we've been reading #InTheNews for #sustainable #travel & #tourism

2/ #Conservation/#Covid #Lockdown: #SouthAfrica #rhino #poaching halves in six months 
https://theguardian.com/environment/2020/aug/01/south-african-rhino-poaching-halves-in-six-months-thanks-to-covid-19-lockdown… #sustainabletourism",,,
Tammy,@UKPatriot4God,2020-08-01T12:51:28.000Z,#conservation #rhino #Poaching #SaveTheWorld https://backabuddy.co.za/champion/project/documentary-for-rhino-911…,,#conservation #rhino #Poaching #SaveTheWorld https://backabuddy.co.za/champion/project/documentary-for-rhino-911…,,,
Claudia Bryan,@ClaudiaBryan01,2020-08-01T06:57:26.000Z,"@KP24
 this is good news about #rhino #poaching levels having dropped.  https://bloomberg.com/amp/news/articles/2020-07-31/s-africa-says-rhino-poaching-plunges-by-more-than-half?__twitter_impression=true…
Please use your platform to highlight and raise awareness of 
@LordAshcroft
 expose of #canned #lion #hunting https://bitebackpublishing.com/books/unfair-game…",1,"@KP24
 this is good news about #rhino #poaching levels having dropped.  https://bloomberg.com/amp/news/articles/2020-07-31/s-africa-says-rhino-poaching-plunges-by-more-than-half?__twitter_impression=true…
Please use your platform to highlight and raise awareness of 
@LordAshcroft
 expose of #canned #lion #hunting https://bitebackpublishing.com/books/unfair-game…1",,,1
CGTN Culture,@CGTN_Culture,2020-08-01T01:20:00.000Z,#SouthAfrica sees a drastic drop in #rhino #poaching,"africa.cgtn.com
South Africa sees a drastic drop in rhino poaching
South Africa has seen a sharp decrease in rhino poaching thanks to a decade of implementing various strategies, Minister of Environment, Forestry and Fisheries, Barbara Creecy announced on Friday. At...","#SouthAfrica sees a drastic drop in #rhino #poachingafrica.cgtn.com
South Africa sees a drastic drop in rhino poaching
South Africa has seen a sharp decrease in rhino poaching thanks to a decade of implementing various strategies, Minister of Environment, Forestry and Fisheries, Barbara Creecy announced on Friday. At...",,,
Oden,@Gjallarhornet,2020-07-31T20:12:21.000Z,"South Africa cuts #rhino #poaching by half: minister

#SouthAfrica","france24.com
South Africa cuts rhino poaching by half: minister - France 24
South Africa cuts rhino poaching by half: minister","South Africa cuts #rhino #poaching by half: minister

#SouthAfricafrance24.com
South Africa cuts rhino poaching by half: minister - France 24
South Africa cuts rhino poaching by half: minister",,,1
Fr. Stephen Smuts,@StephenSmuts,2020-07-31T19:51:19.000Z,"South Africa cuts rhino poaching by half. 

Still, 166 rhino too many die! 

#Rhino
#Poaching
#Conservative","news.yahoo.com
South Africa cuts rhino poaching by half: minister
The number of South African rhinos killed by poachers fell by half in the first six months of the year, but 166 were slaughtered nonetheless, the environment minister said Friday. ""During the first...","South Africa cuts rhino poaching by half. 

Still, 166 rhino too many die! 

#Rhino
#Poaching
#Conservativenews.yahoo.com
South Africa cuts rhino poaching by half: minister
The number of South African rhinos killed by poachers fell by half in the first six months of the year, but 166 were slaughtered nonetheless, the environment minister said Friday. ""During the first...",,,
Sharon Hoole,@SharonHoole,2020-07-20T16:03:00.000Z,"#Malawi .. #Chinese Poaching Syndicates .. falling 
apart .. #Rhino #Pangolin .. AT LAST ... #Africa needs 
to take note .. #Malawi leading the way ... #WildlifeCrime #Poaching","nyasatimes.com
Authorities dismantle wildlife Chinese syndicate in Malawi
The Lin-Zhang syndicate, believed to be one of Southern Africa’s most prolific wildlife trafficking gangs, is in the process of being dismantled by authorities in Malawi. Having been found guilty of...","#Malawi .. #Chinese Poaching Syndicates .. falling 
apart .. #Rhino #Pangolin .. AT LAST ... #Africa needs 
to take note .. #Malawi leading the way ... #WildlifeCrime #Poachingnyasatimes.com
Authorities dismantle wildlife Chinese syndicate in Malawi
The Lin-Zhang syndicate, believed to be one of Southern Africa’s most prolific wildlife trafficking gangs, is in the process of being dismantled by authorities in Malawi. Having been found guilty of...",1.0,15.0,22
VETPAW,@VETPAW,2020-07-17T20:48:51.000Z,The Harsh Reality of Poaching.  (This pic was not of any animal under our protection) source -The Independent  #poaching #rhino #rhinohorn #vetpaw #endangered,,The Harsh Reality of Poaching.  (This pic was not of any animal under our protection) source -The Independent  #poaching #rhino #rhinohorn #vetpaw #endangered,3.0,14.0,28
Nenagh-eye...World.Citizens.,@Nenagh9,2020-07-17T14:38:59.000Z,"Replying to 
@AmyDickman4
 @TaylorShone
 and 13 others","#Sudan ....
The last #Northern #White #Male #Rhino

We reiterate...
@AmyDickman4
 

#Sudan the last #Northern #White #Male #Rhino
Wiped out by years of #TrophyHunting and #Poaching 
.
@OlPejeta
 .
@KensingtonRoyal
 

.
@BorisJohnson
 .
@carriesymonds
 
time has come...
#BanTrophyHunting","Replying to 
@AmyDickman4
 @TaylorShone
 and 13 others#Sudan ....
The last #Northern #White #Male #Rhino

We reiterate...
@AmyDickman4
 

#Sudan the last #Northern #White #Male #Rhino
Wiped out by years of #TrophyHunting and #Poaching 
.
@OlPejeta
 .
@KensingtonRoyal
 

.
@BorisJohnson
 .
@carriesymonds
 
time has come...
#BanTrophyHunting",2.0,7.0,5
Mehmet Kalkan,@mehmetskalkan,2020-07-16T14:16:37.000Z,"Stop one stop them all... 
#StopOneStopThemAll
#rhino #poaching 
@WWF
 @WWF_TURKIYE",,"Stop one stop them all... 
#StopOneStopThemAll
#rhino #poaching 
@WWF
 @WWF_TURKIYE",,,2
JAppliedEcology,@JAppliedEcology,2020-07-15T15:45:22.000Z,"A new Practitioner's Perspective, published today, shows it is possible to curb #rhino #poaching. 
@pkpaudel
 & 
@KathInsAppSci
 use experience from #Nepal to recommend more inter-agency coordination and better frontline support. Full article, free to read: http://ow.ly/Mq3y50AyHsq",,"A new Practitioner's Perspective, published today, shows it is possible to curb #rhino #poaching. 
@pkpaudel
 & 
@KathInsAppSci
 use experience from #Nepal to recommend more inter-agency coordination and better frontline support. Full article, free to read: http://ow.ly/Mq3y50AyHsq",,8.0,10
Pro Wildlife,@prowildlife,2020-07-15T09:22:24.000Z," There is no #lockdown for #poaching and #WildlifeTrafficking - OR Tambo customs officials seize #rhino horns worth R117m, destined for #Malaysia
@CITES
 #WildlifeCrime #Johannesburg #SouthAfrica
#NotAMedicine","bignewsnetwork.com
OR Tambo customs officials seize rhino horns worth R117m
Officials at OR Tambo International Airport said on Tuesday that they had seized dozens of rhino horn pieces disguised as art - and valued at abo"," There is no #lockdown for #poaching and #WildlifeTrafficking - OR Tambo customs officials seize #rhino horns worth R117m, destined for #Malaysia
@CITES
 #WildlifeCrime #Johannesburg #SouthAfrica
#NotAMedicinebignewsnetwork.com
OR Tambo customs officials seize rhino horns worth R117m
Officials at OR Tambo International Airport said on Tuesday that they had seized dozens of rhino horn pieces disguised as art - and valued at abo",,2.0,1
JAppliedEcology,@JAppliedEcology,2020-07-15T08:45:44.000Z,"A new paper, published today, reveals coordinated policy and management actions that have been shown to successfully tackle #rhino #poaching. Free to read now: 
https://doi.org/10.1111/1365-2664.13692…
@pkpaudel
 @KathInsAppSci",,"A new paper, published today, reveals coordinated policy and management actions that have been shown to successfully tackle #rhino #poaching. Free to read now: 
https://doi.org/10.1111/1365-2664.13692…
@pkpaudel
 @KathInsAppSci",,7.0,8
Environmental Investigation Agency,@EIA_News,2020-06-24T12:30:16.000Z,#SouthAfrica: Legalising international #rhino horn trade will be a disaster http://ow.ly/752c50AglIk #poaching #illegalwildlifetrade #Africa,,#SouthAfrica: Legalising international #rhino horn trade will be a disaster http://ow.ly/752c50AglIk #poaching #illegalwildlifetrade #Africa,,11.0,5
Endangered Rhino Conservation,@RhinoEndangered,2020-06-23T09:02:19.000Z,"The #dogs  used to help combat #rhino #poaching are bred, raised & trained for antipoaching units. The #canine breeds predominantly used are German, Sable and Belgian Shepherds and Malinois. Click on the link in our bio to help fund an APU & save a rhinoceros.",,"The #dogs  used to help combat #rhino #poaching are bred, raised & trained for antipoaching units. The #canine breeds predominantly used are German, Sable and Belgian Shepherds and Malinois. Click on the link in our bio to help fund an APU & save a rhinoceros.",,2.0,5
Sue Spurgin,@SueSpurgin,2020-06-23T07:31:39.000Z,#SouthAfrica Suspect arrested for murder of top #rhino #poaching investigator Lt Col #LeroyBruwer. Suspect remanded in custody & will make a formal bail application on June 25. #NoBailJail!,"lowvelder.co.za
Suspect arrested for murder of Lt Col Leroy Bruwer | Lowvelder
Lt Col Bruwer, a member of the Hawks, was shot dead in his car on March 17. Many close to him described his death as an assassination.","#SouthAfrica Suspect arrested for murder of top #rhino #poaching investigator Lt Col #LeroyBruwer. Suspect remanded in custody & will make a formal bail application on June 25. #NoBailJail!lowvelder.co.za
Suspect arrested for murder of Lt Col Leroy Bruwer | Lowvelder
Lt Col Bruwer, a member of the Hawks, was shot dead in his car on March 17. Many close to him described his death as an assassination.",1.0,20.0,27
Susan G Valentine,@SusanGValentine,2020-06-19T06:45:34.000Z,"Wat het Boere en Renosters in gemeen? 

Waarom word hulle soos diere gejag?

My ♡ gaan uit na dié families. Ek het geen woorde nie.  
#farmers #FarmersLivesMatter #farming
#death #lifestyle #poachers
#rhino #boere #poaching #hunters 
 https://da.org.za/2020/06/7-farm-attacks-within-24-hours-in-onderstepoort-north-of-tshwane-raise-major-concerns…",,"Wat het Boere en Renosters in gemeen? 

Waarom word hulle soos diere gejag?

My ♡ gaan uit na dié families. Ek het geen woorde nie.  
#farmers #FarmersLivesMatter #farming
#death #lifestyle #poachers
#rhino #boere #poaching #hunters 
 https://da.org.za/2020/06/7-farm-attacks-within-24-hours-in-onderstepoort-north-of-tshwane-raise-major-concerns…",,,
Teral,@Teralwildlife,2020-06-18T23:05:38.000Z,"Poaching has thrived during the #covid_19 pandemic, as many wildlife protection programs depend on the funds received from ecotourism. Please #stayathome to end the pandemic asap. #teral #wildlife #poaching #rhino https://instagram.com/p/CBmCA4xgUdI/?igshid=bwispavovhtb…",,"Poaching has thrived during the #covid_19 pandemic, as many wildlife protection programs depend on the funds received from ecotourism. Please #stayathome to end the pandemic asap. #teral #wildlife #poaching #rhino https://instagram.com/p/CBmCA4xgUdI/?igshid=bwispavovhtb…",,,
Chris R Shepherd,@Cshepherd7R,2020-06-08T14:00:25.000Z,"More enforcement action against poachers of giants. 
 Poachers arrested in Namibia in relation to rhino, elephant and giraffe poaching. #giraffe #ivory #rhino #poaching https://namibian.com.na/91566/read/16-Namibians-nabbed-for-Wildlife-crime…","2
4","More enforcement action against poachers of giants. 
 Poachers arrested in Namibia in relation to rhino, elephant and giraffe poaching. #giraffe #ivory #rhino #poaching https://namibian.com.na/91566/read/16-Namibians-nabbed-for-Wildlife-crime…2
4",,2.0,4
Sue Spurgin,@SueSpurgin,2020-06-07T07:49:49.000Z,"#Namibia Okavango Delta #poachers now target white dehorned #rhinos as government is facing an unprecedented spate of #rhino #poaching in the delta with more than 50 rhinos said to have been #poached. #WildlifeCrime #WildlifeTrade 
https://botswanasafarinews.blogspot.com/2020/06/okavango-delta-poachers-now-target.html?spref=tw&m=1…",,"#Namibia Okavango Delta #poachers now target white dehorned #rhinos as government is facing an unprecedented spate of #rhino #poaching in the delta with more than 50 rhinos said to have been #poached. #WildlifeCrime #WildlifeTrade 
https://botswanasafarinews.blogspot.com/2020/06/okavango-delta-poachers-now-target.html?spref=tw&m=1…",1.0,28.0,19
Dr Kirstin R Johnson,@DrKirstinJ_UK,2020-06-05T08:07:17.000Z,"Happy #WorldEnvironmentDay!  #rhino horns in S Africa are being removed to protect from #poaching  https://bit.ly/3eVNPzh & H.E. Najib Balala, Cab Sec Tourism & Wildlife, Kenya reports that no elephants or rhinos have been poached in Kenya this year.  Conservation determination!",,"Happy #WorldEnvironmentDay!  #rhino horns in S Africa are being removed to protect from #poaching  https://bit.ly/3eVNPzh & H.E. Najib Balala, Cab Sec Tourism & Wildlife, Kenya reports that no elephants or rhinos have been poached in Kenya this year.  Conservation determination!",,2.0,6
Sue Spurgin,@SueSpurgin,2020-06-04T13:19:29.000Z,"#Namibia #WildlifeCrime spikes in last week of May - 11  arrested in connection with #rhino #poaching/trafficking, 2 for #elephant #poaching/ trafficking, 2 for the #hunting of #giraffe, & 1 for contravening the Arms & Ammunition Act. #WildlifeTrade
https://namibian.com.na/91566/read/16-Namibians-nabbed-for-Wildlife-crime…",,"#Namibia #WildlifeCrime spikes in last week of May - 11  arrested in connection with #rhino #poaching/trafficking, 2 for #elephant #poaching/ trafficking, 2 for the #hunting of #giraffe, & 1 for contravening the Arms & Ammunition Act. #WildlifeTrade
https://namibian.com.na/91566/read/16-Namibians-nabbed-for-Wildlife-crime…",1.0,4.0,6
Justice for Cecil,@CecilsJustice,2020-05-31T13:20:34.000Z,#SouthAfrica - Park forced to de-horn #rhino to curb #poaching,"iol.co.za
Park forced to de-horn rhino to curb poaching
The Pilanesberg National Park and Wildlife Trust announced horn trimming as a ?drastic measure? to save the rhino in the park from further poaching.","#SouthAfrica - Park forced to de-horn #rhino to curb #poachingiol.co.za
Park forced to de-horn rhino to curb poaching
The Pilanesberg National Park and Wildlife Trust announced horn trimming as a ?drastic measure? to save the rhino in the park from further poaching.",,2.0,4
